@relation 'citation'
@attribute _id integer
@attribute 2000 real
@attribute 2001 real
@attribute 2002 real
@attribute 2003 real
@attribute 2004 real
@attribute 2005 real
@attribute 2006 real
@attribute 2007 real
@attribute 2008 real
@attribute 2009 real
@attribute average_average_citation real
@attribute average_citation real
@attribute average_coauthor real
@attribute average_publication real
@attribute cs_average_ranking_percentile real
@attribute journal_count_percentage real
@attribute max_average_citation real
@attribute max_citation real
@attribute max_coauthor real
@attribute max_publication real
@attribute non_cs_average_ranking_percentile real
@attribute outside_cs_percentage real
@attribute tire_1_count real
@attribute tire_1_percentage real
@attribute tire_2_count real
@attribute tire_2_percentage real
@attribute venue_average_citation real
@attribute venue_ranking_percentile real
@attribute venue_type {'Journal', 'Conference', 'Unknown'}
@attribute label {-1, 1}

@data
262148 , 3 , 15 , 11 , 11 , 24 , 25 , 26 , 27 , 36 , 23 , 4.9815575345 , 578.0 , 386.5 , 99.5 , 7.41860465116 , 0.282547272332 , 8.08665978891 , 1019 , 544 , 126 , 14.7371048253 , 0.115554701019 , 35 , 0.76070419474 , 36 , 0.782438600304 , 55.0459400563 , 1.25 , Journal , 1
270343 , 4 , 6 , 19 , 38 , 26 , 35 , 45 , 38 , 41 , 40 , 0.0 , 0.0 , 89.0 , 0.0 , 10.7436648854 , 0.310291329081 , 0.0 , 0 , 89 , 0 , 18.4931880109 , 0.159542095349 , 27 , 0.465436993622 , 39 , 0.672297879676 , 0 , 0 , Unknown , 1
704526 , 3 , 9 , 10 , 14 , 11 , 11 , 14 , 17 , 12 , 7 , 3.94725463754 , 67.0 , 240.0 , 18.0 , 16.7228112693 , 0.272644653135 , 4.23940149626 , 117 , 470 , 32 , 0.0 , 0.000302938503484 , 8 , 0.242350802787 , 15 , 0.454407755226 , 15.224093494 , 6.89 , Journal , -1
57359 , 3 , 5 , 6 , 4 , 9 , 13 , 18 , 5 , 17 , 19 , 10.8281656156 , 363.5 , 91.0 , 27.5 , 6.77888819488 , 0.249843847595 , 15.3534872649 , 645 , 108 , 42 , 6.77611940299 , 0.111604664076 , 9 , 0.562148657089 , 12 , 0.749531542786 , 33.1524628553 , 0.4 , Conference , -1
24551 , 6 , 5 , 15 , 9 , 16 , 13 , 18 , 26 , 7 , 20 , 4.85179828434 , 435.0 , 645.0 , 103.5 , 17.3313825896 , 0.292611558157 , 6.26673808249 , 519 , 851 , 151 , 72.6019900498 , 0.0467333178331 , 6 , 0.146305779078 , 9 , 0.219458668617 , 19.9530990056 , 1.69 , Journal , -1
286746 , 10 , 26 , 8 , 9 , 21 , 11 , 22 , 20 , 20 , 17 , 11.4672192575 , 1077.0 , 74.3333333333 , 50.3333333333 , 9.37046132257 , 0.192948605508 , 25.7895175402 , 3095 , 124 , 120 , 13.1089108911 , 0.0174107912429 , 23 , 0.403437993335 , 31 , 0.543764251886 , 36.2857707408 , 0.77 , Conference , -1
1286172 , 21 , 17 , 8 , 8 , 5 , 6 , 6 , 11 , 10 , 3 , 2.77633648347 , 219.083333333 , 283.083333333 , 25.5 , 8.9725544011 , 0.215643991374 , 12.901472746 , 2374 , 1109 , 184 , 44.49500998 , 0.0894483128013 , 24 , 0.47049598118 , 32 , 0.627327974907 , 0 , 0 , Unknown , -1
540711 , 8 , 16 , 9 , 13 , 10 , 19 , 11 , 11 , 11 , 9 , 0.620994514826 , 17.25 , 64.0 , 10.75 , 9.82613996586 , 0.24384296513 , 1.8851756641 , 66 , 225 , 35 , 18.4455445545 , 0.024041894787 , 8 , 0.195074372104 , 18 , 0.438917337235 , 15.9873940179 , 0.51 , Conference , -1
294952 , 7 , 13 , 14 , 10 , 11 , 4 , 9 , 19 , 9 , 6 , 5.91763294682 , 148.0 , 249.0 , 25.0 , 10.868827628 , 0.575583156619 , 5.91763294682 , 148 , 249 , 25 , 5.37402885683 , 0.214472744585 , 17 , 0.514995455922 , 17 , 0.514995455922 , 36.4170069628 , 1.76 , Journal , -1
2048041 , 5 , 7 , 17 , 22 , 38 , 40 , 50 , 57 , 43 , 69 , 2.78088142559 , 127.0 , 56.0 , 38.3333333333 , 6.93422783478 , 0.49986845567 , 4.04624277457 , 259 , 71 , 64 , 11.8577075099 , 0.530922108382 , 27 , 0.710339384373 , 29 , 0.762957116548 , 33.9823893781 , 12.02 , Journal , 1
